Species;SampleID;Ind;Rep;conidL;conidW;conidiophL;conidiophW;conidA;PictureID
Froth;UZ_10.23(3)_R209;103;R2;4,018;1,953;11,975;1,362;6,609;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R210;103;R2;4,352;2,162;16,37;2,181;7,141;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R301;103;R3;4,035;2,122;9,568;1,902;5,301;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R302;103;R3;4,441;1,986;12,95;2,236;7,469;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R303;103;R3;4,175;2,151;18,083;1,941;7,193;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R304;103;R3;3,823;1,881;11,396;2,032;6,565;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R305;103;R3;3,287;1,754;19,721;1,874;5,205;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R306;103;R3;3,963;2,096;12,918;1,891;6,493;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R307;103;R3;4,637;1,993;14,801;2,327;6,557;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R308;103;R3;5,033;1,981;10,616;2,541;8,401;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R309;103;R3;3,423;1,801;11,566;1,901;5,265;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(3)_R310;103;R3;3,923;2,001;13,126;1,961;6,717;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R101;104;R1;3,88;2,024;13,138;2,014;5,705;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R102;104;R1;4,003;2,232;12,592;2,167;6,045;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R103;104;R1;3,568;2,074;15,42;1,969;6,121;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R104;104;R1;3,887;2,244;12,997;1,924;5,785;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R105;104;R1;3,743;2,124;9,854;1,745;5,665;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R106;104;R1;4,135;2,286;11,64;1,735;5,613;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R107;104;R1;4,962;2,241;13,065;1,501;8,321;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R108;104;R1;4,3;2,322;11,781;2,152;6,969;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R109;104;R1;4,077;2,273;11,168;1,982;6,145;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R110;104;R1;3,818;1,895;16,172;1,41;5,409;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R201;104;R2;4,089;2,053;13,82;1,459;7,329;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R202;104;R2;4,126;1,97;13,116;1,569;6,645;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R203;104;R2;3,925;2,081;10,582;1,614;5,497;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R204;104;R2;4,593;2,179;8,998;1,595;6,537;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R205;104;R2;4,161;2,199;13,707;1,739;6,693;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R206;104;R2;4,271;2,162;12,689;1,883;6,585;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R207;104;R2;4;2,116;12,687;2,34;6,461;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R208;104;R2;4,207;2,232;12,021;1,371;7,389;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R209;104;R2;4,451;2,26;11,203;1,581;7,961;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R210;104;R2;4,27;2,119;11,725;1,498;6,733;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R301;104;R3;4,08;2,058;14,921;1,983;6,541;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R302;104;R3;4,082;1,977;12,639;2,065;6,645;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R303;104;R3;4,201;2,017;17,725;2,083;7,269;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R304;104;R3;3,797;1,763;14,901;2,154;6,001;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R305;104;R3;3,791;1,909;13,274;1,986;5,553;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R306;104;R3;4,013;1,968;14,333;2,039;6,429;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R307;104;R3;4,369;1,907;16,312;2,291;7,401;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R308;104;R3;4,047;1,844;14,523;2,195;6,709;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R309;104;R3;3,698;1,675;15,252;2,208;6,753;Sotomayor-Alge et al. (2025)
Froth;UZ_10.23(4)_R310;104;R3;4,187;1,899;16,74;2,205;5,909;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R101;125;R1;3,791;1,851;9,382;1,692;7,393;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R102;125;R1;4,501;2,15;12,371;1,62;7,221;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R103;125;R1;4,784;2,282;14,113;1,759;8,257;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R104;125;R1;5,174;2,333;15,122;1,879;9,398;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R105;125;R1;4,61;2,275;12,716;1,54;7,737;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R106;125;R1;5,432;1,928;15,676;1,495;8,293;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R107;125;R1;4,618;2,209;12,308;1,193;8,049;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R108;125;R1;4,277;1,896;12,708;1,412;6,917;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R109;125;R1;5,137;2,267;13,997;1,57;8,773;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R110;125;R1;4,298;1,877;13,095;2,182;6,845;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R201;125;R2;3,857;1,877;12,3;1,352;6,461;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R202;125;R2;4,871;2,221;10,752;1,118;8,725;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R203;125;R2;4,109;1,802;10;1,687;5,881;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R204;125;R2;4,522;2,074;11,809;1,436;7,577;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R205;125;R2;3,963;1,65;12,176;1,694;5,285;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R206;125;R2;4,35;1,815;11,95;1,631;6,321;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R207;125;R2;5,164;2,054;13,124;2,112;7,809;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R208;125;R2;4,287;1,831;9,381;1,555;6,293;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R209;125;R2;4,501;2,055;13,907;1,48;7,429;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R210;125;R2;4,9;2,025;11,909;1,362;7,529;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R301;125;R3;4,622;1,997;12,511;2,314;7,109;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R302;125;R3;4,628;2,033;9,666;2,276;7,569;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R303;125;R3;5,156;2,067;10,261;2,159;8,785;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R304;125;R3;4,465;2,201;9,713;2,553;7,481;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R305;125;R3;4,627;2,145;9,575;2,021;6,845;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R306;125;R3;4,533;1,679;10,326;2,044;6,893;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R307;125;R3;5,069;2,288;11,944;2,215;9,226;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R308;125;R3;4,652;1,928;13,455;2,413;6,877;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R309;125;R3;4,607;1,898;9,359;2,427;7,601;Sotomayor-Alge et al. (2025)
Froth;UZ_12.23(5)_R310;125;R3;4,348;2,371;11,827;2,522;7,809;Sotomayor-Alge et al. (2025)
